Samoa	American Samoa
Samoa	Sāmoa
People's Republic of China	China
Pitcairn Islands	Pitcairn
South Georgia and the South Sandwich Islands	South Georgia and South Sandwich Islands
The Bahamas	Bahamas
Belarus	Belaruś
Kingdom of Lesotho	Lesotho
Swaziland	Eswatini
Congo-Brazzaville	Republic of the Congo
Congo-Kinshasa	Democratic Republic of the Congo
Caribisch Nederland	Aruba
Caribisch Nederland	Curacao
Saint Martin	Sint Maarten
Saint Martin	Saint Martin (Dutch part)
Saint Martin	Sint Maarten (Netherlands)
Cape Verde	Cabo Verde
Cote dIvoire	Côte d'Ivoire
Cote dIvoire	Ivory Coast
Palestine Region	Palestinian Territories
Italy_Lazio	Vatican City
Republic of Kosovo	Kosovo
China_Guangdong	Hong Kong
US_Guam	Guam
Macedonia	North Macedonia
Czech Republic	Czechia
