Kyrgyzstan	Kyrgyzstan
Laos	Laos
Latvia	Latvia
Lebanon	Lebanon
Mexico	Mexico_Central_East
Mexico	Mexico_East
Mexico	Mexico_South
Mexico	Mexico_Chihuahua
Mexico	Mexico_Sonora
Mexico	Mexico_Mexico
Mexico	Mexico_California
Mexico	Mexico_Central_West
Japan_Chugoku	Japan_Chugoku Region_Shimane
Japan_Chugoku	Japan_Chugoku Region_Okayama
Japan_Chugoku	Japan_Chugoku Region_Tottori
Japan_Chugoku	Japan_Chugoku Region_Yamaguchi
Japan_Chugoku	Japan_Chugoku Region_Hiroshima
Ethiopia	Ethiopia
Reunion	France_Southern Islands
Romania	Romania_North_West
Romania	Romania_North_East
Romania	Romania_South_East
Romania	Romania_South
Romania	Romania_Centre
Romania	Romania_South_West
Romania	Romania_West
Russia_Central	Russia_Ivanovo Oblast
Russia_Central	Russia_Smolensk Oblast
Russia_Central	Russia_Yaroslavl Oblast
Russia_Central	Russia_Kostroma Oblast
Russia_Central	Russia_Moscow Oblast_West
Russia_Central	Russia_Moscow Oblast_East
Russia_Central	Russia_Tver Oblast
Russia_Central	Russia_Vladimir Oblast
Russia_Central	Russia_Oryol Oblast
Russia_Central	Russia_Voronezh Oblast
Russia_Central	Russia_Bryansk Oblast
Russia_Central	Russia_Kursk Oblast
Russia_Central	Russia_Lipetsk Oblast
Russia_Central	Russia_Tula Oblast
Russia_Central	Russia_Belgorod Oblast
Russia_Central	Russia_Tambov Oblast
Russia_Central	Russia_Kaluga Oblast
Russia_Central	Russia_Ryazan Oblast
Russia_Central	Russia_Moscow
Mongolia	Mongolia
Montenegro	Montenegro
Samoa	Samoa
Morocco	Morocco_Western Sahara
Morocco	Morocco_Southern
Morocco	Morocco_Doukkala-Abda
Morocco	Spain_Melilla
Morocco	Morocco_Rabat-Sale-Zemmour-Zaer
Mozambique	Mozambique
Namibia	Namibia
Philippines	Philippines_Visayas
Philippines	Philippines_Luzon_Manila
Philippines	Philippines_Mindanao
Philippines	Philippines_Luzon_South
Philippines	Philippines_Luzon_North
Portugal	Portugal_Islands
Portugal	Portugal_South
Portugal	Portugal_Porto
Portugal	Portugal_Viseu
USA_Florida	US_Florida_Tampa
USA_Florida	US_Florida_Miami
USA_Florida	US_Florida_Jacksonville
USA_Florida	US_Florida_Orlando
USA_Florida	US_Florida_Gainesville
USA_Georgia	US_Georgia_North
USA_Georgia	US_Georgia_Atlanta
USA_Georgia	US_Georgia_South
USA_Georgia	US_Georgia_Macon
Uruguay	Uruguay
USA_Connecticut	US_Connecticut
USA_Delaware	US_Delaware
Falkland Islands	Falkland Islands
Croatia	Croatia_West
Croatia	Croatia_Central
Uzbekistan	Uzbekistan
Vanuatu	Vanuatu
France_Bourgogne	France_Burgundy_Cote-dOr
France_Bourgogne	France_Burgundy_Yonne
France_Bourgogne	France_Burgundy_Nievre
France_Bourgogne	France_Burgundy_Saone-et-Loire
France_Champagne-Ardenne	France_Champagne-Ardenne
France_Pays de la Loire	France_Pays de la Loire_Vendee
France_Pays de la Loire	France_Pays de la Loire_Maine-et-Loire
France_Pays de la Loire	France_Pays de la Loire_Mayenne
France_Pays de la Loire	France_Pays de la Loire_Sarthe
France_Pays de la Loire	France_Pays de la Loire_Loire-Atlantique_Nantes
France_Pays de la Loire	France_Pays de la Loire_Loire-Atlantique_Saint-Nazaire
France_Picardie	France_Picardy_Somme
France_Picardie	France_Picardy_Oise
France_Picardie	France_Picardy_Aisne
France_Poitou-Charentes	France_Poitou-Charentes_Charente
France_Poitou-Charentes	France_Poitou-Charentes_Vienne
France_Poitou-Charentes	France_Poitou-Charentes_Deux-Sevres
France_Poitou-Charentes	France_Poitou-Charentes_Charente-Maritime
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Hautes-Alpes
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Alpes-de-Haute-Provence
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Maritime Alps
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Bouches-du-Rhone
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Vaucluse
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Var
France_Rhone-Alpes	France_Rhone-Alpes_Ardeche
France_Rhone-Alpes	France_Rhone-Alpes_Ain
France_Rhone-Alpes	France_Rhone-Alpes_Loire
France_Rhone-Alpes	France_Rhone-Alpes_Haute-Savoie
France_Rhone-Alpes	France_Rhone-Alpes_Rhone
France_Rhone-Alpes	France_Rhone-Alpes_Savoie
France_Rhone-Alpes	France_Rhone-Alpes_Isere
France_Rhone-Alpes	France_Rhone-Alpes_Drome
French Guiana	France_French Guiana
French Polynesia	French Polynesia
French Southern Territories	France_Southern Islands
Gabon	Gabon
Galapagos Islands	Ecuador_West
Gambia	The Gambia
Georgia	South Ossetia
Georgia	Georgia
Georgia	Abkhazia
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen
Germany_Bavaria	Germany_Free State of Bavaria_Upper Palatinate
Germany_Bavaria	Germany_Free State of Bavaria_Upper Franconia
Germany_Bavaria	Germany_Free State of Bavaria_Swabia
Germany_Bavaria	Germany_Free State of Bavaria_Middle Franconia
Germany_Bavaria	Germany_Free State of Bavaria_Lower Franconia
Germany_Bavaria	Germany_Free State of Bavaria_Lower Bavaria
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_Ingolstadt
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_Munchen
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_East
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_South
Germany_Berlin & Brandenburg	Germany_Brandenburg_South
