,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,id,en,ru,pl,sv,tr,fr,nl,de,ar,el,it,cs,hu,ro,ja,da,es,,fi,hi,hr,id,ko,pt,sk,sw,th,zh-Hant,zh-Hans,
,id,English,Russian,Polish,Swedish,Turkish,French,Dutch,German,Arabic,Greek,Italian,Czech,Hungarian,Romanian,Japanese,Danish,Spanish,Spanish Catalian,Finnish,Hindi,Croatian,Indonesian,Korean,Portugese,Slovak,Swahili,Thai,Chinese Traditional,Chinese Simplified,English_GB
Commands. ,make_a_slight_right_turn,Slight right.,Плавный поворот направо.,Lekko w prawo.,Svagt höger.,Hafif sağa.,Légèrement à droite.,Houd rechts aan.,Leicht rechts.,إلى اليمين قليلا.,Ανοιχτή στροφή δεξιά.,Mantenersi a destra.,Mírně doprava.,Kanyarodjon enyhén jobbra.,Virați ușor la dreapta.,緩やかに右折。,Blødt til højre.,Ligero derecha.,Gir lleu a la dreta.,Loiva oikea.,थोड़ा सा दाएं मुड़े।,Blago udesno.,Sedikit ke kanan.,약간 우회전.,Ligeira curva à direita.,Mierne doprava.,Enda kulia kidogo.,ขวาเล็กน้อย,稍向右轉。,向右微转。,
,make_a_right_turn,Turn right.,Поворот направо.,Jedź w prawo.,Sväng höger.,Sağa dönün.,Tournez à droite.,Sla rechtsaf.,Rechts abbiegen.,انعطف يمينا.,Στρίψε δεξιά.,Gira a destra.,Otočte se doprava.,Forduljon jobbra.,Curbă la dreapta.,右に曲がります。,Drej til højre.,Gire a la derecha.,Gireu a la dreta.,Käänny oikealle.,दायीं ओर मुड़ें।,Skrenite udesno.,Belok kanan.,우회전하십시오.,Vire à direita.,Odbočte doprava.,Zunguka upande wa kulia.,เลี้ยวขวา,右轉。,右转。,
,make_a_sharp_right_turn,Sharp right.,Крутой поворот направо.,Ostro w prawo.,Skarpt höger.,Tam sağa.,À droite toute.,Scherp rechtsaf.,Scharf rechts.,إلى أقصى اليمين.,Κλειστή στροφή δεξιά.,Svoltare a destra.,Ostře doprava.,Kanyarodjon élesen jobbra.,Virați strâns la dreapta.,急に右折。,Skarpt til højre.,Fuerte derecha.,Gir fort la dreta.,Jyrkkä oikea.,तीव्रता से दाएं मुड़े।,Oštro udesno.,Belok tajam ke kanan.,급우회전.,Curva acentuada à direita.,Ostro doprava.,Fanya kulia mkali.,หักมุมขวา,向右急轉。,向右急转。,
,enter_the_roundabout,Enter the roundabout.,Въезд на кольцо.,Wjedź na rondo.,Kör in i rondellen.,Kavşağa girin.,Prenez le rond-point.,Rij de rotonde op.,Fahren Sie in den Kreisverkehr.,اتجه إلى الطريق الدوار.,Μπείτε στον κυκλικό κόμβο.,Entra nella rotonda.,Vjeďte na kruhový objezd.,Hajtson be a körforgalomba.,Intrați în sensul giratoriu.,ロータリー入口です。,Kør ind i rundkørslen.,Entre a la rotonda.,Entreu a la rotonda.,Aja liikenneympyrään.,गोल चक्‍कर में प्रवेश करें।,Uđite na zaobilaznicu.,Masuk ke bundaran.,로터리 진입입니다.,Entre na rotunda.,Vojdite na kruhový objazd.,Ingia kwenye mzunguko.,เข้าสู่วงเวียน,進入環島。,进入环岛。,Enter the roundabout.
,leave_the_roundabout,Exit from the roundabout.,Съезд с кольца.,Zjazd z ronda.,Lämna rondellen.,Kavşaktan çık.,Sortir du rond-point.,Verlaat de rotonde.,Aus dem Kreisverkehr ausfahren.,اخرج من الدوار.,Έξοδος από τον κυκλικό κόμβο.,Esci dalla rotonda.,Vyjeďte z kruhového objezdu.,Hagyja el a körforgalmat.,Ieșiți din sensul giratoriu.,ロータリーから抜けてください。,Forlad rundkørslen.,Salir de la rotonda.,Sortir de la rotonda.,Poistu liikenneympyrästä.,परिपथ से बाहर निकलें।,Napustite zaobilaznicu.,Keluar dari bundaran.,원형 교차로에서 나갑니다.,Saia da rotunda.,Výjazd z kruhového objazdu.,Toka kwenye mzunguko wa barabara.,ออกจากวงเวียน,退出環島。,退出环岛。,Leave the roundabout.
,make_a_slight_left_turn,Slight left.,Плавный поворот налево.,Lekko w lewo.,Svagt vänster.,Hafif sola.,Légèrement à gauche.,Houd links aan.,Leicht links.,إلى اليسار قليلاً.,Ανοιχτή στροφή αριστερά.,Mantenersi a sinistra.,Mírně doleva.,Kanyarodjon enyhén balra.,Virați ușor la stânga.,緩やかに左折。,Blødt til venstre.,Ligero izquierda,Gir lleu a l'esquerra.,Loiva vasen.,थोड़ा सा बाएं मुड़े।,Blago ulijevo.,Sedikit ke kiri.,약간 좌회전.,Ligeira curva à esquerda.,Mierne doľava.,Enda kushoto kidogo.,ซ้ายเล็กน้อย,稍向左轉。,向左微转。,
,make_a_left_turn,Turn left. ,Поворот налево.,Jedź w lewo.,Sväng vänster.,Sola dönün.,Tournez à gauche.,Sla linksaf.,Links abbiegen.,انعطف يسارا.,Στρίψε αριστερά.,Gira a sinistra.,Otočte se doleva.,Forduljon balra.,Curbă la stânga.,左に曲がります。,Drej til venstre.,Gire a la izquierda.,Gireu a l´esquerra.,Käänny vasemmalle.,बायीं ओर मुड़ें।,Skrenite ulijevo.,Belok kiri.,좌회전하십시오.,Vire à esquerda.,Odbočte doľava.,Zunguka upande wa kushoto.,เลี้ยวซ้าย,左轉。,左转。,Make a left turn.
,make_a_sharp_left_turn,Sharp left.,Крутой поворот налево.,Ostro w lewo.,Skarpt vänster.,Tam sola.,À gauche toute.,Scherp linksaf.,Scharf links.,إلى أقصى اليسار.,Κλειστή στροφή αριστερά.,Svoltare a sinistra.,Ostře doleva.,Kanyarodjon élesen balra.,Virați strâns la stânga.,急に左折。,Skarpt til venstre.,Fuerte izquierda.,Gir fort a l'esquerra.,Jyrkkä vasen.,तीव्रता से बाएं मुड़े।,Oštro ulijevo.,Belok tajam ke kiri.,급좌회전.,Curva acentuada à esquerda.,Ostro doľava.,Fanya kushoto mkali.,หักมุมซ้าย,向左急轉。,向左急转。,
,make_a_u_turn,Make a u-turn.,Разворот.,Zawróć.,Gör en U-sväng.,U dönüşü yapın.,Faites demi-tour.,Keer om.,Wenden Sie.,انعطف بدوران كامل.,Κάντε αναστροφή.,Effettua un'inversione a U.,Otočte se o sto osmdesát stupňů.,Forduljon vissza.,Întoarceți-vă o sută optzeci de grade.,Uターンです。,Vend om.,Gire en U.,Feu un canvi de sentit.,Tee U-käännös.,यू-टर्न लें।,Napravite poluzaokret.,Putar balik.,유턴입니다.,Faça inversão de marcha.,Otočte sa o stoosemdesiat stupňov.,Geuka urudi ulikotoka.,กลับรถ,掉頭。,掉头。,Make a u-turn.
,go_straight,Go straight.,Двигайтесь прямо.,Jedź prosto.,Åk rakt framåt.,Düz ilerleyin.,Continuez tout droit.,Rij rechtdoor.,Fahren Sie geradeaus.,انطلق مباشرة.,Συνεχίστε ευθεία.,Sempre dritto.,Jeďte rovně.,Hajtson előre.,Mergeți înainte.,直進です。,Fortsæt lige ud.,Continúe derecho.,Seguiu recte.,Aja suoraan.,सीधे चलें।,Idite ravno.,Lurus terus.,직진입니다.,Siga em frente.,Choďte rovno.,Pita kabisa.,ตรงไป,直行。,直行。,Go straight.
