# Mwm name	Generation time
Taiwan_North	177873.82744500003
Vietnam	133067.940984
India_Uttar Pradesh	112341.593158
Mexico_South	92439.53720400001
WorldCoasts	91193.345717
Mexico_Mexico	90025.76339
Taiwan_South	74077.97733899999
Tanzania	59007.246945
Netherlands_North Holland_Amsterdam	52159.713580999996
Pakistan	49021.205687999995
Egypt	47517.29868
Kenya	46706.46647199999
Poland_Masovian Voivodeship	45958.00756199999
Brazil_Northeast Region_West	42553.51011099999
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Stuttgart	38443.79574399999
Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe	38438.581729000005
Germany_Hesse_Regierungsbezirk Darmstadt	38397.647763
US_California_LA	37869.446737000006
Netherlands_South Holland_Den Haag	35709.17773
Poland_Lesser Poland Voivodeship	35413.68943199999
US_California_Santa_Clara_Palo Alto	34858.43747100001
Germany_Free State of Bavaria_Swabia	32805.605644
India_Bihar	32609.178617
Germany_Rhineland-Palatinate_Koblenz	32489.791909
Nigeria_South	31187.65691
Netherlands_South Holland_Rotterdam	30875.835357999997
Thailand_Central	30601.942485
Canada_Quebek_Montreal	28995.907095
US_New York_New York	28524.597347999996
India_West Bengal	28090.228089
Austria_Lower Austria_Wien	27780.510698
World	27604.689003
Malawi	27558.242122999996
Germany_Baden-Wurttemberg_Regierungsbezirk Tubingen	27155.827769999996
India_Rajasthan	26806.296801
US_Arizona_Phoenix	26803.505482
Germany_Thuringia	26659.684556
Germany_Free State of Bavaria_Lower Franconia	26620.45384
US_Texas_Dallas	26365.140403000005
US_New York_West	26228.481884999997
India_Punjab	26150.645699
Poland_Silesian Voivodeship	25946.858122
India_Haryana	25916.652914000002
US_Colorado_Denver	25781.103612000003
Germany_Baden-Wurttemberg_Regierungsbezirk Freiburg	25695.235651
Hungary_Northern Great Plain	24264.599737
Brazil_Bahia	24262.066618
Mozambique	23936.212674000002
Germany_Saxony_Leipzig	23616.755884000002
India_Maharashtra	22836.181284
US_Illinois_Chickago	22613.570069999998
US_Pennsylvania_Reading	22480.791636
Poland_Lower Silesian Voivodeship	22347.427595
Austria_Lower Austria_West	22280.565896999997
Thailand_South	22192.153296
Serbia	21532.123184
US_Maryland_Baltimore	21456.926304
Germany_Hesse_Regierungsbezirk Kassel	21314.201635
US_Florida_Miami	21237.294794000005
UK_England_Greater London	21030.766465999994
UK_England_West Midlands	20324.080275
India_Madhya Pradesh	20177.938450999998
Poland_Greater Poland Voivodeship	19747.870203000002
Spain_Castile-La Mancha	19102.364799000003
Germany_Free State of Bavaria_Middle Franconia	19048.908052000002
UK_England_South West England_Bristol	19032.105591000003
Nigeria_North	18923.910959999997
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln	18760.924974
US_New York_East	18495.858404000002
France_Champagne-Ardenne	18301.733442999997
Indonesia_Jawa Tengah	18247.304033999997
US_Indiana_North	17448.452539
Poland_Subcarpathian Voivodeship	17420.806945
Spain_Catalonia_Provincia de Barcelona	16977.722427
US_Connecticut	16945.137624
Hungary_Transdanubia	16915.944336
Mexico_Central_West	16914.09725
Belgium_Flemish Brabant	16823.610259999998
Portugal_Viseu	16798.341464999998
Japan_Kanto_Tokyo	16765.981563999998
US_Tennessee_West	16599.152744
Germany_North Rhine-Westphalia_Regierungsbezirk Detmold	16248.358220999997
Poland_Lublin Voivodeship	16060.470158
Brazil_Southeast Region_Minas Gerais_Contagem	15974.235695
Netherlands_North Brabant_Eindhoven	15940.300476999999
US_Michigan_Detroit	15832.558653000004
US_Georgia_Atlanta	15565.102102000003
UK_England_East Midlands	15461.118155000002
UK_England_South East_Oxford	15380.873769
Zambia	15369.999157
Netherlands_Limburg	15321.918525000003
US_Ohio_Cleveland	15288.253496
Germany_Free State of Bavaria_Upper Palatinate	15279.676039
India_Tamil Nadu	15107.760402999998
Slovenia_East	15033.452994
New Zealand North_Auckland	15019.062642999997
Netherlands_Utrecht_Utrecht	14908.462207999999
US_Ohio_Cincinnati	14694.673584000002
US_Washington_Seattle	14535.989892000001
US_Florida_Tampa	14439.582967999997
US_Wisconsin_Milwaukee	14304.782149
US_Maryland_and_DC	14303.832173999997
Iran_North	14115.924281
Uganda	14075.846665
US_Texas_Houston	13982.556289999999
US_Nevada	13876.147497
US_North Carolina_Charlotte	13685.530447
US_California_San Diego	13661.299890000002
US_Oregon_Portland	13615.853283
India_Andhra Pradesh	13585.880611999999
US_Indiana_Indianapolis	13557.586877
US_Tennessee_East	13488.975903
Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund	13456.600349
US_Florida_Jacksonville	13390.279504
Netherlands_North Brabant_Tiburg	13303.014066999998
Germany_Free State of Bavaria_Upper Franconia	13263.628817
Bangladesh	13168.575168000003
Poland_Lodz Voivodeship	13021.093104
US_Massachusetts_Boston	12989.290235000002
Mexico_Central_East	12813.678244
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf	12473.068506000001
Netherlands_Gelderland_North	12449.568782999999
Germany_Rhineland-Palatinate_South	12328.321866
Germany_Free State of Bavaria_Lower Bavaria	12236.848748999999
US_Michigan_Lansing	12205.872641000002
Germany_Lower Saxony_Oldenburg	12166.961208
Germany_Berlin	12027.188664
Canada_Ontario_Toronto	11955.274537
US_New York_North	11944.457208000002
Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen	11936.371855999998
Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn	11911.745331999999
US_Alabama_Montgomery	11790.509348
Germany_Hesse_Regierungsbezirk Giessen	11784.903088
Austria_Styria_Graz	11743.629969000001
Kazakhstan_South	11734.522745
Myanmar	11570.099515
Ireland_Leinster	11478.460027
China_Hebei	11409.303583
Indonesia_Jawa Barat	11348.794483
Czech_Jihovychod_Jihomoravsky kraj	11336.065722
US_Pennsylvania_Pittsburgh	11298.498915
US_Texas_Austin	11231.675637000002
UK_England_North West England_Manchester	11113.956717
France_Limousin	11075.414479000001
France_Rhone-Alpes_Rhone	11014.673189000001
Italy_Tuscany_Massa e Carrara	10962.808463
UK_England_South East_Brighton	10944.625880000001
China_Yunnan	10927.055248
Brazil_Southeast Region_Minas Gerais_North	10890.977727000001
Japan_Kanto_Saitama	10881.477571
US_North Carolina_Raleigh	10846.096843
Brazil_Southeast Region_Sao Paulo_Campinas	10652.474266000001
Indonesia_Jawa Timur	10521.175365000001
France_Nord-Pas-de-Calais_Lille	10485.969758000001
Spain_Castile and Leon_West	10469.487226000001
Argentina_Buenos Aires_Buenos Aires	10421.65193
